,Temperoculture,NGA,Original_culture_name,Period_start,Period_end,Polity_population,Polity_territory,Population_of_the_largest_settlement,Administrative_levels,Military_levels,Religious_levels,Settlement_hierarchy,Largest_communication_distance,Occupational_complexity,Professional_lawyers,Professional_military_officers,Professional_priesthood,Professional_soldiers,Bureaucracy_examination_system,Bureaucracy_merit_promotion,Bureaucracy_source_of_support,Fulltime_bureaucrats,Courts,Formal_legal_code,Judges,Bridges,Burial_site,Canals,Ceremonial_site,Communal_buildings,Drinking_water_supply_systems,Enclosures,Entertainment_buildings,Food_storage_sites,Irrigation_systems,Knowledge/information_buildings,Markets,Mines_or_quarries,Monumental_building_cost,Monumental_building_extent,Monumental_building_height,Ports,Roads,Special_purpose_house,Special_purpose_sites,Specialized_government_buildings,Symbolic_buildings,Trading_emporia,Utilitarian_public_buildings,Other_polity-owned_site,Calendar,Fiction,Geometrical_measurements,History,Lists_tables_and_classifications,Measurement_of_area,Measurement_of_time,Measurement_of_length,Measurement_of_volume,Measurement_of_weight,Mnemonic_devices,Nonphonetic_writing,Phonetic_alphabetic_writing,Philosophy,Practical_literature,Religious_literature,Sacred_texts,Scientific_literature,Script,Nonwritten_records,Written_records,Articles,Debt_and_credit_structures,Foreign_coins,Indigenous_coins,Paper_currency,Precious_metals,Store_of_wealth,Tokens,Fastest_individual_communication,General_postal_service,Postal_stations,Couriers,Peak_date,UTM_zone,Region,Capital,Degree_of_centralization,Language,Linguistic_family,Preceding_(quasi)polity,Relationship_to_preceding_(quasi)polity,Succeeding_(quasi)polity,Supracultural_entity,Scale_of_supracultural_interaction,Suprapolity_relations,High_gods_(creator_gods),Supernatural_enforcement_of_fairness,Supernatural_enforcement_of_human_reciprocity,Supernatural_enforcement_of_ingroup_loyalty,Name_of_official_cult,Largest_scale_ritual_name,Largest_scale_collective_ritual_of_the_official_cult_frequency_for_the_audience,Largest_scale_ritual_frequency_for_ritual_specialist,Largest_scale_ritual_frequency_per_participant,Most_dysphoric_ritual_name,Most_dysphoric_ritual_frequency_for_audience,Most_dysphoric_ritual_frequency_for_ritual_specialist,Most_dysphoric_ritual_frequency_per_participant,Most_euphoric_ritual_name,Most_euphoric_ritual_frequency_for_audience,Most_euphoric_ritual_frequency_for_ritual_specialist,Most_euphoric_ritual_frequency_per_participant,Most_frequent_ritual_name,Most_frequent_ritual_frequency_for_audience,Most_frequent_ritual_frequency_for_ritual_specialist,Most_frequent_ritual_frequency_per_participant,Most_widespread_ritual_name,Most_widespread_ritual_frequency_for_audience,Most_widespread_ritual_frequency_for_ritual_specialist,Most_widespread_ritual_frequency_per_participant,Name_of_other_significant_religious_or_ideological_systems,CC_PolPop,CC_PolTerr,CC_CapPop,CC_Hier,CC_Govt,CC_Infra,CC_Writing,CC_Texts,CC_Money,BasePolity,Percent_CCs_imputed,CCs_imputed,CC_PolPop_Regression_x0,CC_PolPop_Regression_x1,CC_PolPop_Regression_x2,CC_PolTerr_Regression_x0,CC_PolTerr_Regression_x1,CC_PolTerr_Regression_x2,CC_CapPop_Regression_x0,CC_CapPop_Regression_x1,CC_CapPop_Regression_x2,CC_Hier_Regression_x0,CC_Hier_Regression_x1,CC_Hier_Regression_x2,CC_Govt_Regression_x0,CC_Govt_Regression_x1,CC_Govt_Regression_x2,CC_Infra_Regression_x0,CC_Infra_Regression_x1,CC_Infra_Regression_x2,CC_Writing_Regression_x0,CC_Writing_Regression_x1,CC_Writing_Regression_x2
0,AfAfshr+1800,"['Kachi Plain', 'Susiana']",Afsharid Dynasty,1800,1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['42R', '39R']","['South Asia', 'Southwest Asia']",,,,,,,,,,,,,,,,Nowruz,not applicable,yearly,yearly,Ashura,yearly,yearly,yearly,Id al Fitr,not applicable,yearly,yearly,salat al jum a,not applicable,weekly,weekly,salat al jum a,not applicable,weekly,weekly,,,,,,,,,,,AfAfshr,1.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1]",,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0
1,AfAfshr+1900,"['Kachi Plain', 'Susiana']",Afsharid Dynasty,1900,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['42R', '39R']","['South Asia', 'Southwest Asia']",,,,,,,,,,,,,,,,Nowruz,not applicable,yearly,yearly,Ashura,yearly,yearly,yearly,Id al Fitr,not applicable,yearly,yearly,salat al jum a,not applicable,weekly,weekly,salat al jum a,not applicable,weekly,weekly,,,,,,,,,,,AfAfshr,1.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1]",,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0
2,AfDurrn+1800,['Kachi Plain'],Durrani Empire,1800,1900,,1790000.0,,5,4.0,1.0,3.0,1089,,0.0,1.0,0.0,1.0,0.0,0.1,tribute,0.0,0.0,1.0,0.1,0.0,,0.0,,,0.1,,,1.0,1.0,,1.0,,,,,0.0,0.0,,,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,27.0,0.0,0.0,1.0,1760.0,['42R'],['South Asia'],Herat,loose,Persian,Indo-European,Afsharid Dynasty,continuity,Barkzai Dynasty,,,none,moralizing,1.0,1.0,1.0,Pashtunwali,Nauroz,yearly,yearly,yearly,,,,,Id al Fitr,not applicable,yearly,yearly,salat al jum a,not applicable,weekly,weekly,salat al jum a,not applicable,weekly,weekly,,,6.252853030979892,,2.6666666666666665,0.3818181818181818,0.34444444444444444,4.0,0.8888888888888888,6.0,AfDurrn,0.2222222222222222,"[1, 0, 1, 0, 0, 0, 0, 0, 0]",,0.0,0.0,350.060536810568,7.402875269078947,18.758559092939677,,0.0,0.0,324.83333333333337,3.157118937505272,7.999999999999999,49.354545454545445,0.4520420296882548,1.1454545454545453,89.27777777777773,0.40779452942776445,1.0333333333333334,304.0,4.735678406257911,12.0
3,AfDurrn+1900,['Kachi Plain'],Durrani Empire,1900,2000,,489000.0,,5,4.0,1.0,3.0,1089,,0.0,1.0,0.0,1.0,0.0,0.1,tribute,0.0,0.0,1.0,0.1,0.0,,0.0,,,0.1,,,1.0,1.0,,1.0,,,,,0.0,0.0,,,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,27.0,0.0,0.0,1.0,1760.0,['42R'],['South Asia'],Herat,loose,Persian,Indo-European,Afsharid Dynasty,continuity,Barkzai Dynasty,,,none,moralizing,1.0,1.0,1.0,Pashtunwali,Nauroz,yearly,yearly,yearly,,,,,Id al Fitr,not applicable,yearly,yearly,salat al jum a,not applicable,weekly,weekly,salat al jum a,not applicable,weekly,weekly,,,5.689308859123621,,2.6666666666666665,0.3818181818181818,0.34444444444444444,4.0,0.8888888888888888,6.0,AfDurrn,0.2222222222222222,"[1, 0, 1, 0, 0, 0, 0, 0, 0]",,0.0,0.0,369.0226598025238,7.1606289322280965,12.800944933028147,,0.0,0.0,334.50000000000006,3.356297040425219,6.0,51.55454545454545,0.4805607126063381,0.859090909090909,91.17777777777772,0.43352170105492416,0.775,316.0,5.034445560637831,9.0
4,AfGhurd+1100,['Kachi Plain'],Principality of Ghur,1100,1200,,,,,,2.0,,,,1.0,,,,,,,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,,,,0.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,0.1,1.0,1.0,,,,,1.0,1199.0,['42R'],['South Asia'],Firuzkuh,confederated state,Persian,Indo-European,,,,,,none,moralizing,1.0,1.0,1.0,Islam,Hajj,yearly,yearly,once in a lifetime,Arafat wuquf,not applicable,yearly,once in a lifetime,Id al Fitr,not applicable,yearly,yearly,salat al jum a,not applicable,weekly,weekly,salat al jum a,not applicable,weekly,weekly,,,,,2.0,0.4545454545454545,0.6666666666666666,4.0,0.8888888888888888,5.0,AfGhurd,0.3333333333333333,"[1, 1, 1, 0, 0, 0, 0, 0, 0]",,0.0,0.0,,0.0,0.0,,0.0,0.0,247.8333333333334,2.581296736453799,4.5,34.44545454545453,0.586658349194045,1.0227272727272725,75.72222222222221,0.8604322454845995,1.5,220.0,5.162593472907598,9.0
5,AfGhurd+1200,['Kachi Plain'],Principality of Ghur,1200,1300,,1600000.0,,5,4.0,2.0,4.0,,,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,0.1,1.0,1.0,,,,,1.0,1199.0,['42R'],['South Asia'],Firuzkuh,confederated state,Persian,Indo-European,,,,,,none,moralizing,1.0,1.0,1.0,Islam,Hajj,yearly,yearly,once in a lifetime,Arafat wuquf,not applicable,yearly,once in a lifetime,Id al Fitr,not applicable,yearly,yearly,salat al jum a,not applicable,weekly,weekly,salat al jum a,not applicable,weekly,weekly,,,6.204119982655924,,3.333333333333333,0.8181818181818182,0.7777777777777778,4.0,0.8888888888888888,5.0,AfGhurd,0.2222222222222222,"[1, 0, 1, 0, 0, 0, 0, 0, 0]",,0.0,0.0,243.14315997457658,8.528827200320938,17.06132995230379,,0.0,0.0,252.50000000000006,4.582345937948708,9.166666666666666,35.35454545454544,1.124757639314683,2.25,76.61111111111111,1.0692140521880322,2.138888888888889,228.0,5.498815125538449,11.0
6,AfGhurd+1300,['Kachi Plain'],Principality of Ghur,1300,1400,,1600000.0,,5,4.0,2.0,4.0,,,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,0.1,1.0,1.0,,,,,1.0,1199.0,['42R'],['South Asia'],Firuzkuh,confederated state,Persian,Indo-European,,,,,,none,moralizing,1.0,1.0,1.0,Islam,Hajj,yearly,yearly,once in a lifetime,Arafat wuquf,not applicable,yearly,once in a lifetime,Id al Fitr,not applicable,yearly,yearly,salat al jum a,not applicable,weekly,weekly,salat al jum a,not applicable,weekly,weekly,,,6.204119982655924,,3.333333333333333,0.8181818181818182,0.7777777777777778,4.0,0.8888888888888888,5.0,AfGhurd,0.2222222222222222,"[1, 0, 1, 0, 0, 0, 0, 0, 0]",,0.0,0.0,254.49623410024037,9.817608619993248,13.95926996097583,,0.0,0.0,258.50000000000006,5.274779043301923,7.499999999999998,36.62727272727271,1.2947184924468356,1.840909090909091,77.61111111111111,1.230781776770449,1.75,236.0,6.329734851962307,9.0
7,AfGhurd+1400,['Kachi Plain'],Principality of Ghur,1400,1500,,1600000.0,,5,4.0,2.0,4.0,,,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,0.1,1.0,1.0,,,,,1.0,1199.0,['42R'],['South Asia'],Firuzkuh,confederated state,Persian,Indo-European,,,,,,none,moralizing,1.0,1.0,1.0,Islam,Hajj,yearly,yearly,once in a lifetime,Arafat wuquf,not applicable,yearly,once in a lifetime,Id al Fitr,not applicable,yearly,yearly,salat al jum a,not applicable,weekly,weekly,salat al jum a,not applicable,weekly,weekly,,,6.204119982655924,,3.333333333333333,0.8181818181818182,0.7777777777777778,4.0,0.8888888888888888,5.0,AfGhurd,0.2222222222222222,"[1, 0, 1, 0, 0, 0, 0, 0, 0]",,0.0,0.0,289.04153257460433,15.59577465072807,26.367509926287678,,0.0,0.0,282.50000000000006,8.379256953082363,14.166666666666664,40.53636363636362,2.056726706665672,3.4772727272727275,81.16666666666667,1.955159955719219,3.3055555555555554,260.0,10.055108343698839,17.0
8,AfGhurd+1500,['Kachi Plain'],Principality of Ghur,1500,1600,,1600000.0,,5,4.0,2.0,4.0,,,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,0.1,1.0,1.0,,,,,1.0,1199.0,['42R'],['South Asia'],Firuzkuh,confederated state,Persian,Indo-European,,,,,,none,moralizing,1.0,1.0,1.0,Islam,Hajj,yearly,yearly,once in a lifetime,Arafat wuquf,not applicable,yearly,once in a lifetime,Id al Fitr,not applicable,yearly,yearly,salat al jum a,not applicable,weekly,weekly,salat al jum a,not applicable,weekly,weekly,,,6.204119982655924,,3.333333333333333,0.8181818181818182,0.7777777777777778,4.0,0.8888888888888888,5.0,AfGhurd,0.2222222222222222,"[1, 0, 1, 0, 0, 0, 0, 0, 0]",,0.0,0.0,295.24565255726026,7.558041956233717,20.163389943631753,,0.0,0.0,285.83333333333337,4.0607649848610174,10.833333333333332,41.35454545454544,0.9967332235567955,2.659090909090909,81.94444444444444,0.9475118298009042,2.5277777777777777,264.0,4.872917981833221,13.0
9,AfGhurd+1600,['Kachi Plain'],Principality of Ghur,1600,1700,,1600000.0,,5,4.0,2.0,4.0,,,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,0.1,1.0,1.0,,,,,1.0,1199.0,['42R'],['South Asia'],Firuzkuh,confederated state,Persian,Indo-European,,,,,,none,moralizing,1.0,1.0,1.0,Islam,Hajj,yearly,yearly,once in a lifetime,Arafat wuquf,not applicable,yearly,once in a lifetime,Id al Fitr,not applicable,yearly,yearly,salat al jum a,not applicable,weekly,weekly,salat al jum a,not applicable,weekly,weekly,,,6.204119982655924,,3.333333333333333,0.8181818181818182,0.7777777777777778,4.0,0.8888888888888888,5.0,AfGhurd,0.2222222222222222,"[1, 0, 1, 0, 0, 0, 0, 0, 0]",,0.0,0.0,324.64199688861635,8.30153704894987,31.020599913279618,,0.0,0.0,310.83333333333337,4.460228080779348,16.666666666666664,45.718181818181804,1.0947832561912947,4.090909090909091,86.16666666666664,1.0407198855151814,3.8888888888888893,288.0,5.3522736969352165,20.0
10,AfGhurd+1700,['Kachi Plain'],Principality of Ghur,1700,1800,,1600000.0,,5,4.0,2.0,4.0,,,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,0.1,1.0,1.0,,,,,1.0,1199.0,['42R'],['South Asia'],Firuzkuh,confederated state,Persian,Indo-European,,,,,,none,moralizing,1.0,1.0,1.0,Islam,Hajj,yearly,yearly,once in a lifetime,Arafat wuquf,not applicable,yearly,once in a lifetime,Id al Fitr,not applicable,yearly,yearly,salat al jum a,not applicable,weekly,weekly,salat al jum a,not applicable,weekly,weekly,,,6.204119982655924,,3.333333333333333,0.8181818181818182,0.7777777777777778,4.0,0.8888888888888888,5.0,AfGhurd,0.2222222222222222,"[1, 0, 1, 0, 0, 0, 0, 0, 0]",,0.0,0.0,337.3512668495922,1.2266070260315762,17.06132995230379,,0.0,0.0,317.83333333333337,0.6590282099962855,9.166666666666664,47.536363636363625,0.16176146972636105,2.25,87.72222222222219,0.15377324899913333,2.1388888888888893,296.0,0.7908338519955427,11.0
11,AfGhurd+1800,['Kachi Plain'],Principality of Ghur,1800,1900,,1600000.0,,5,4.0,2.0,4.0,,,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,0.1,1.0,1.0,,,,,1.0,1199.0,['42R'],['South Asia'],Firuzkuh,confederated state,Persian,Indo-European,,,,,,none,moralizing,1.0,1.0,1.0,Islam,Hajj,yearly,yearly,once in a lifetime,Arafat wuquf,not applicable,yearly,once in a lifetime,Id al Fitr,not applicable,yearly,yearly,salat al jum a,not applicable,weekly,weekly,salat al jum a,not applicable,weekly,weekly,,,6.204119982655924,,3.333333333333333,0.8181818181818182,0.7777777777777778,4.0,0.8888888888888888,5.0,AfGhurd,0.2222222222222222,"[1, 0, 1, 0, 0, 0, 0, 0, 0]",,0.0,0.0,356.3133898415479,7.345179257924213,18.61235994796777,,0.0,0.0,327.50000000000006,3.94639867188159,9.999999999999998,49.73636363636363,0.9686614921891178,2.4545454545454546,89.62222222222218,0.9208263567723712,2.3333333333333335,308.0,4.735678406257911,12.0
12,AfGhurd+1900,['Kachi Plain'],Principality of Ghur,1900,2000,,1600000.0,,5,4.0,2.0,4.0,,,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,0.1,1.0,1.0,,,,,1.0,1199.0,['42R'],['South Asia'],Firuzkuh,confederated state,Persian,Indo-European,,,,,,none,moralizing,1.0,1.0,1.0,Islam,Hajj,yearly,yearly,once in a lifetime,Arafat wuquf,not applicable,yearly,once in a lifetime,Id al Fitr,not applicable,yearly,yearly,salat al jum a,not applicable,weekly,weekly,salat al jum a,not applicable,weekly,weekly,,,6.204119982655924,,3.333333333333333,0.8181818181818182,0.7777777777777778,4.0,0.8888888888888888,5.0,AfGhurd,0.2222222222222222,"[1, 0, 1, 0, 0, 0, 0, 0, 0]",,0.0,0.0,374.7119686616474,7.808576076086641,13.95926996097583,,0.0,0.0,337.16666666666674,4.195371300531525,7.499999999999999,51.93636363636363,1.0297729555850106,1.8409090909090908,91.52222222222217,0.9789199701240224,1.75,320.0,5.034445560637831,9.0
13,AfGhurd+2000,['Kachi Plain'],Principality of Ghur,2000,2100,,1600000.0,,5,4.0,2.0,4.0,,,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,0.1,1.0,1.0,,,,,1.0,1199.0,['42R'],['South Asia'],Firuzkuh,confederated state,Persian,Indo-European,,,,,,none,moralizing,1.0,1.0,1.0,Islam,Hajj,yearly,yearly,once in a lifetime,Arafat wuquf,not applicable,yearly,once in a lifetime,Id al Fitr,not applicable,yearly,yearly,salat al jum a,not applicable,weekly,weekly,salat al jum a,not applicable,weekly,weekly,,,6.204119982655924,,3.333333333333333,0.8181818181818182,0.7777777777777778,4.0,0.8888888888888888,5.0,AfGhurd,0.2222222222222222,"[1, 0, 1, 0, 0, 0, 0, 0, 0]",,0.0,0.0,380.91608864430333,0.7313049451178987,0.0,,0.0,0.0,340.50000000000006,0.39291360534736897,0.0,52.75454545454545,0.0964424304034451,0.0,92.29999999999994,0.09167984124771941,0.0,324.0,0.47149632641684275,0.0
14,AfGhurd+2100,['Kachi Plain'],Principality of Ghur,2100,2200,,1600000.0,,5,4.0,2.0,4.0,,,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,0.1,1.0,1.0,,,,,1.0,1199.0,['42R'],['South Asia'],Firuzkuh,confederated state,Persian,Indo-European,,,,,,none,moralizing,1.0,1.0,1.0,Islam,Hajj,yearly,yearly,once in a lifetime,Arafat wuquf,not applicable,yearly,once in a lifetime,Id al Fitr,not applicable,yearly,yearly,salat al jum a,not applicable,weekly,weekly,salat al jum a,not applicable,weekly,weekly,,,6.204119982655924,,3.333333333333333,0.8181818181818182,0.7777777777777778,4.0,0.8888888888888888,5.0,AfGhurd,0.2222222222222222,"[1, 0, 1, 0, 0, 0, 0, 0, 0]",,0.0,0.0,387.12020862695925,0.0,0.0,,0.0,0.0,343.83333333333337,0.0,0.0,53.57272727272727,0.0,0.0,93.07777777777771,0.0,0.0,328.0,0.0,0.0
15,AfGrBct-200,"['Kachi Plain', 'Sogdiana']",Greco-Bactrian Kingdom,-200,-100,1500000.0,600000.0,25000.0,5,5.0,1.0,3.0,600,,,1.0,1.0,1.0,0.1,0.1,land,1.0,,1.0,,1.0,1.0,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,35.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,,,0.1,,1.0,-180.0,"['42R', '42S']","['South Asia', 'Central Eurasia']",Bactra,unitary state,Bactrian,Indo-European,Seleucid Empire,continuity,Sakas,Greek,4500000,alliance,moralizing,0.0,1.0,,,civic festival,,,,,,,,civic festival,,,,Yasna,daily,daily,daily,Yasna,daily,daily,daily,,6.176091259055681,5.778151250383644,4.3979400086720375,3.0,0.5636363636363636,0.8999999999999999,4.0,1.0,5.0,AfGrBct,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",54.1131431066433,6.780377364335398,18.528273777167044,56.76608247954354,6.343501788184043,17.33445375115093,184.44169689756598,4.82824680428448,13.193820026016112,100.75,3.2935284210998415,9.0,11.927272727272726,0.6187841276005766,1.690909090909091,33.23888888888887,0.9880585263299527,2.6999999999999997,58.0,4.391371228133124,12.0
16,AfGrBct-100,"['Kachi Plain', 'Sogdiana']",Greco-Bactrian Kingdom,-100,0,1500000.0,2200000.0,25000.0,4,5.0,1.0,3.0,600,,,1.0,1.0,1.0,0.1,0.1,land,1.0,,1.0,,1.0,1.0,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,35.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,,,0.1,,1.0,-180.0,"['42R', '42S']","['South Asia', 'Central Eurasia']",Bactra,unitary state,Bactrian,Indo-European,Seleucid Empire,continuity,Sakas,Greek,4500000,alliance,moralizing,0.0,1.0,,,civic festival,,,,,,,,civic festival,,,,Yasna,daily,daily,daily,Yasna,daily,daily,daily,,6.176091259055681,6.342422680822207,4.3979400086720375,3.0,0.5636363636363636,0.8999999999999999,4.0,1.0,5.0,AfGrBct,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",78.42946663901245,6.828188339061627,20.072296591930964,72.31750506166625,7.012081715452469,20.612873712672172,196.44439441350931,4.862292576890862,14.293305028184122,113.25,3.316752320838754,9.75,13.91363636363636,0.6231474057333416,1.8318181818181818,36.48333333333332,0.9950256962516264,2.925,72.0,4.422336427785008,13.0
17,AfHepht+500,"['Kachi Plain', 'Sogdiana']",Hepthalite Empire,500,600,26500000.0,2750000.0,,4,4.0,1.0,2.0,2000,,,1.0,1.0,1.0,0.0,0.1,,1.0,,,,1.0,1.0,,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,,,,,1.0,514.0,"['42R', '42S']","['South Asia', 'Central Eurasia']",Sakala,confederated state,Bactrian,Indo-European,Sassanid Empire,elite migration,Western Turk Khaganate,Steppe nomads,7500000,vassalage,inactive,0.5,1.0,0.1,,No Roz,not applicable,yearly,yearly,mourning ritual,,,once in a lifetime,banquet,not applicable,,,morning prayer,daily,daily,daily,Yasna,daily,daily,daily,,7.423245873936808,6.439332693830263,,2.333333333333333,0.4636363636363636,0.6666666666666666,4.0,1.0,5.0,AfHepht,0.1111111111111111,"[0, 0, 1, 0, 0, 0, 0, 0, 0]",179.2730610563151,0.47575461514528455,18.55811468484202,164.36666973916982,0.4126957801979636,16.09833173457566,,0.0,0.0,177.5833333333334,0.14954295208019855,5.833333333333332,23.486363636363627,0.029714378789961533,1.1590909090909092,50.85555555555554,0.04272655773719959,1.6666666666666665,140.0,0.2563593464231976,10.0
